parkID,parkName,lat,lng,capacity,emptyCapacity,workHours,parkType,freeTime,district,isOpen
1772,Çapa Yol Üstü Otoparkı 1,41.0167,28.931,30,22,07:00-17:00,YOL ÜSTÜ,15,FATİH,0
342,Çarşı Çıkışı,41.0664,29.0417,14,4,08:00-23:00,YOL ÜSTÜ,15,BEŞİKTAŞ,0
2003,Çatalca İnceğiz Mesire Alanı,41.1827,28.4041,1000,1000,10:00-18:00,AÇIK OTOPARK,0,ÇATALCA,0
494,Çatalçeşme 1,41.0093,28.9758,50,50,08:00-17:00,YOL ÜSTÜ,0,FATİH,0
765,Çay Bahçesi Yanı 1,41.0736,28.2436,60,60,09:00-20:00,YOL ÜSTÜ,15,SİLİVRİ,0
766,Çay Bahçesi Yanı 2,41.0731,28.2437,50,50,09:00-20:00,YOL ÜSTÜ,15,SİLİVRİ,0
1259,Çayır Çimen Sokak 1,41.0792,29.0133,30,30,07:00-17:00,YOL ÜSTÜ,15,BEŞİKTAŞ,0
2103,Çekmeköy Çavuşbaşı Caddesi 2,41.0305,29.1726,50,45,09:00-17:00,YOL ÜSTÜ,15,ÇEKMEKÖY,0
2104,Çekmeköy Çavuşbaşı Caddesi 3,41.0307,29.1727,50,46,09:00-17:00,YOL ÜSTÜ,15,ÇEKMEKÖY,0
3030,Çekmeköy Metro Zeminaltı P+R Otoparkı,41.0147,29.1888,175,108,24 Saat,KAPALI OTOPARK,15,ÇEKMEKÖY,1
3004,Çekmeköy Mimar Sinan Caddesi 4,41.0327,29.1764,60,60,09:00-17:00,YOL ÜSTÜ,15,ÇEKMEKÖY,0
1298,Çengelköy Açık Otoparkı,41.0484,29.0535,500,289,24 Saat,AÇIK OTOPARK,15,ÜSKÜDAR,1
502,Çınar Açık Otoparkı,41.0851,29.0087,100,100,08:00-18:00,AÇIK OTOPARK,15,BEŞİKTAŞ,0
1484,Çınar Hotel Önü 1,40.9595,28.836,60,43,09:00-23:00,YOL ÜSTÜ,15,BAKIRKÖY,0
777,Çırağan Sarayı Yol Üstü 1,41.0447,29.0164,40,29,08:00-23:00,YOL ÜSTÜ,15,BEŞİKTAŞ,0
2228,Çırpıcı Sosyal Tesisler,41,28.8926,128,0,24 Saat,AÇIK OTOPARK,15,ZEYTİNBURNU,1
525,Dalbastı Sokak 1,41.0062,28.9787,250,249,08:00-20:00,YOL ÜSTÜ,15,FATİH,0
2030,Dalyan Açık Otoparkı,40.9635,29.0644,120,56,24 Saat,AÇIK OTOPARK,15,KADIKÖY,1
2271,Damla Sokak 1,41.0672,29.0004,17,17,08:00-18:00,YOL ÜSTÜ,15,ŞİŞLİ,0
1569,Darülbedai Caddesi 1,41.0485,28.9914,40,40,07:00-23:00,YOL ÜSTÜ,0,ŞİŞLİ,0
1570,Darülbedai Caddesi 2,41.0489,28.9901,40,22,07:00-23:00,YOL ÜSTÜ,0,ŞİŞLİ,0
1940,Darülbedai Caddesi 4,41.0487,28.9906,40,34,07:00-23:00,YOL ÜSTÜ,0,ŞİŞLİ,0
2164,Darüşşafaka Yeraltı Otoparkı,41.1293,29.0252,150,82,08:00-00:00,KAPALI OTOPARK,15,SARIYER,1
1653,Deniz Feneri Otoparkı,41.0013,28.9768,175,135,24 Saat,AÇIK OTOPARK,5,FATİH,1
1270,Dere Sokak,41.0576,28.9884,15,8,08:00-18:00,YOL ÜSTÜ,15,ŞİŞLİ,0
176,Dereboyu Caddesi 2,41.0526,29.0238,22,22,09:00-17:00,YOL ÜSTÜ,15,BEŞİKTAŞ,0
595,Dostluk Yurdu 1,41.0071,28.9728,50,38,07:00-17:30,YOL ÜSTÜ,15,FATİH,0
2097,Dr. Adnan Büyük Deniz Caddesi 13,41.0329,29.1183,100,82,07:30-16:00,YOL ÜSTÜ,15,ÜMRANİYE,0
634,Dr.Adnan Adıvar Caddesi,41.0083,28.9453,15,12,08:00-17:00,YOL ÜSTÜ,0,FATİH,0
237,Dr.Fahri Atabey Caddesi 1,41.0215,29.0167,24,10,09:00-17:00,YOL ÜSTÜ,15,ÜSKÜDAR,0
2478,Dr.Fahri Atabey Caddesi 6,41.0192,29.0192,32,32,09:00-17:00,YOL ÜSTÜ,15,ÜSKÜDAR,0
2237,Dragos Sosyal Tesisleri,40.9017,29.1456,100,94,24 Saat,AÇIK OTOPARK,15,KARTAL,1
3063,Dudullu Metro Zeminaltı P+R Otoparkı,41.0156,29.1633,81,63,07:00-23:30,KAPALI OTOPARK,15,ÜMRANİYE,0
851,Dumlupınar Caddesi 1,40.9924,28.8377,60,60,09:00-18:00,YOL ÜSTÜ,15,BAHÇELİEVLER,0
852,Dumlupınar Caddesi 2,40.9924,28.8385,60,50,09:00-18:00,YOL ÜSTÜ,15,BAHÇELİEVLER,0
854,Dumlupınar Caddesi 4,40.9923,28.8395,38,33,09:00-18:00,YOL ÜSTÜ,15,BAHÇELİEVLER,0
855,Dumlupınar Caddesi 5,40.9923,28.8401,50,45,09:00-18:00,YOL ÜSTÜ,15,BAHÇELİEVLER,0
857,Dumlupınar Caddesi 7,40.9922,28.8415,39,33,09:00-18:00,YOL ÜSTÜ,15,BAHÇELİEVLER,0
858,Dumlupınar Caddesi 8,40.9921,28.8428,49,44,09:00-18:00,YOL ÜSTÜ,15,BAHÇELİEVLER,0
1522,Ebu Suut Caddesi 1,41.013,28.9764,40,39,08:00-18:00,YOL ÜSTÜ,0,FATİH,0
2147,EGS Blokları Açık Otoparkı,40.9863,28.8354,350,0,07:00-20:00,AÇIK OTOPARK,60,BAKIRKÖY,0
2173,Eminönü Cep Otoparkı,41.017,28.9761,30,17,08:00-19:00,YOL ÜSTÜ,0,FATİH,0
1132,Emirgan Korusu,41.1086,29.0528,300,286,08:00-21:00,AÇIK OTOPARK,0,SARIYER,0
1103,Emirgan Sahil 1,41.1073,29.0578,17,6,08:00-23:00,YOL ÜSTÜ,15,SARIYER,0
2645,Emirgan Sahil 2,41.106,29.0572,12,12,08:00-23:00,YOL ÜSTÜ,15,SARIYER,0
2646,Emirgan Sahil 3,41.1052,29.0569,15,15,08:00-23:00,YOL ÜSTÜ,15,SARIYER,0
2647,Emirgan Sahil 4,41.1044,29.0565,29,29,08:00-23:00,YOL ÜSTÜ,15,SARIYER,0
2648,Emirgan Sahil 5,41.1036,29.0563,29,20,08:00-23:00,YOL ÜSTÜ,15,SARIYER,0
97,Ergenekon Caddesi 1,41.0531,28.9833,40,40,08:00-18:00,YOL ÜSTÜ,15,ŞİŞLİ,0
2366,Esenler Adem Baştürk Kültür Merkezi Katlı,41.0387,28.8851,1000,430,24 Saat,KAPALI OTOPARK,15,ESENLER,1
3190,Esenler Havaalanı Mahallesi Zemin Altı Otoparkı,41.0562,28.8673,610,320,24 Saat,KAPALI OTOPARK,10,ESENLER,1
3011,Esenler Menderes Metro İstasyonu Yanı,41.0425,28.8782,120,14,24 Saat,AÇIK OTOPARK,5,ESENLER,1
2822,Esenler Menderes Parkı Zemin Altı Otoparkı,41.0413,28.873,316,0,24 Saat,KAPALI OTOPARK,10,ESENLER,1
1692,Eski Büyükdere Caddesi 1,41.0881,29.0063,30,14,08:00-17:00,YOL ÜSTÜ,15,KAĞITHANE,0
1693,Eski Büyükdere Caddesi 2,41.0889,29.006,30,26,08:00-17:00,YOL ÜSTÜ,15,KAĞITHANE,0
1328,Eski Salı Pazarı,40.9907,29.0333,760,392,24 Saat,AÇIK OTOPARK,20,KADIKÖY,1
845,Etyemez Tekkesi Sokak 1,41.0029,28.9368,59,59,08:00-17:00,YOL ÜSTÜ,15,FATİH,0
846,Etyemez Tekkesi Sokak 2,41.0029,28.9367,59,59,08:00-17:00,YOL ÜSTÜ,15,FATİH,0
848,Etyemez Tekkesi Sokak 4,41.0044,28.9363,59,59,08:00-17:00,YOL ÜSTÜ,15,FATİH,0
1829,Eyüp İstanbul Caddesi 1,41.1765,28.89,28,28,09:00-20:00,YOL ÜSTÜ,15,EYÜP,0
1830,Eyüp İstanbul Caddesi 2,41.1766,28.8876,21,21,09:00-20:00,YOL ÜSTÜ,15,EYÜP,0
1831,Eyüp İstanbul Caddesi 3,41.1768,28.887,31,31,09:00-20:00,YOL ÜSTÜ,15,EYÜP,0
